customer_id,credit_score,payment_history,credit_utilization,recent_inquiries,debt_to_income_ratio,length_of_credit_history
160,726.0,59.98,0.02,0,0.31,18.59
161,601.0,57.67,0.51,1,0.14,11.44
162,459.0,88.03,0.22,4,0.25,17.34
163,465.0,79.48,0.73,4,0.56,3.24
164,797.0,90.45,0.06,2,0.46,10.61
165,623.0,91.87,0.23,2,0.21,10.08
166,703.0,75.32,0.1,4,0.79,3.88
167,688.0,55.14,0.27,1,0.97,9.49
168,661.0,88.72,0.03,3,0.98,1.4
169,661.0,57.54,0.64,1,0.08,10.42
170,414.0,98.56,0.54,1,0.41,15.21
171,646.0,86.19,0.19,0,0.85,8.49
172,619.0,55.14,0.74,2,0.63,12.15
173,702.0,57.76,0.19,4,0.57,4.23
174,616.0,64.66,0.74,0,0.22,4.91
175,506.0,83.05,0.8,3,0.39,8.2
176,633.0,89.88,0.03,1,0.02,19.28
177,732.0,77.56,0.06,2,0.07,9.96
178,428.0,68.9,0.75,0,0.06,18.64
179,808.0,65.02,0.52,3,0.48,9.4
180,790.0,87.14,0.18,2,0.14,11.11
181,602.0,64.53,0.67,3,0.61,5.4
182,648.0,78.14,0.92,3,0.61,8.21
183,677.0,52.91,0.26,0,0.04,8.72
184,607.0,78.97,0.2,2,0.74,9.68
185,645.0,67.57,0.77,1,0.59,5.53
186,477.0,78.66,0.91,0,0.55,11.77
187,559.0,73.0,0.92,1,0.45,12.15
188,655.0,58.84,0.85,0,0.36,19.33
189,750.0,62.04,0.87,4,0.25,5.11
190,577.0,97.13,0.21,2,0.7,4.93
191,499.0,54.47,0.66,0,0.7,9.45
192,494.0,74.93,0.73,2,0.76,5.75
193,716.0,77.48,0.39,2,0.63,12.94
194,599.0,97.06,0.35,5,0.68,8.21
195,408.0,93.27,0.56,1,0.49,2.68
196,439.0,50.78,0.16,4,0.04,15.46
197,573.0,76.11,0.41,2,0.85,4.74
198,630.0,87.08,0.9,0,0.42,13.52
199,533.0,82.95,0.64,1,0.93,7.13
200,698.0,55.01,0.59,4,0.03,2.36
201,586.0,90.39,0.89,4,0.75,14.05
202,554.0,68.9,0.18,2,0.67,18.33
203,764.0,61.36,0.97,3,0.56,10.75
204,467.0,66.56,0.53,6,0.44,17.75
205,560.0,67.28,0.0,1,0.44,8.26
206,543.0,69.13,0.81,2,0.89,18.71
207,590.0,75.79,0.17,3,0.53,1.65
208,620.0,75.11,0.7,5,0.1,17.43
209,618.0,56.76,0.91,1,0.23,6.25
210,687.0,87.09,0.34,0,0.61,8.88
211,709.0,65.05,0.93,6,0.89,16.19
212,480.0,50.02,0.38,4,0.48,2.66
213,549.0,90.65,0.6,4,0.09,13.49
214,850.0,68.84,0.82,2,0.56,5.12
215,700.0,56.6,0.49,2,0.75,18.2
216,600.0,84.06,0.95,3,0.65,18.37
217,583.0,84.22,0.16,0,0.29,2.35
218,578.0,94.84,0.46,1,0.08,2.68
219,523.0,91.32,0.75,0,0.98,3.32
220,747.0,95.32,0.21,1,0.54,11.33
221,637.0,90.85,0.18,3,0.7,4.06
222,408.0,83.36,0.33,3,0.38,10.83
223,757.0,95.52,0.78,0,0.92,11.96
224,498.0,57.6,0.44,3,0.2,6.69
225,560.0,54.05,0.31,1,0.77,0.91
226,575.0,68.78,0.49,2,0.69,19.63
227,571.0,74.45,0.42,1,0.73,5.47
228,459.0,79.51,0.1,1,0.68,13.71
229,836.0,74.25,0.3,2,0.58,9.04
230,624.0,61.72,0.25,2,0.2,11.21
231,580.0,95.8,0.34,4,0.59,19.2
232,660.0,61.82,0.67,0,0.8,17.44
233,479.0,78.2,0.67,1,0.07,8.4
234,704.0,82.12,0.7,1,0.65,9.56
235,607.0,95.69,0.99,1,0.98,4.78
236,769.0,84.27,0.2,0,0.08,2.26
237,430.0,94.31,0.05,2,0.88,14.97
238,428.0,53.04,0.87,3,0.08,15.4
239,616.0,89.65,0.65,3,0.71,7.46
240,581.0,87.39,0.44,0,0.14,14.84
241,563.0,71.37,0.33,3,0.79,6.0
242,541.0,85.72,0.54,3,0.24,11.42
243,566.0,87.78,0.65,2,0.11,8.17
244,715.0,57.6,0.69,2,0.54,7.13
245,525.0,50.18,0.78,0,0.01,13.84
246,587.0,74.32,0.83,2,0.95,9.67
247,572.0,86.31,0.27,0,0.74,16.24
248,674.0,74.48,0.03,5,0.13,7.94
249,469.0,71.54,0.16,7,0.51,19.47
250,758.0,81.13,0.81,2,0.37,19.69
251,491.0,54.44,0.05,0,0.52,14.79
252,658.0,83.52,0.05,2,0.83,4.62
253,494.0,97.98,0.23,2,0.84,2.88
254,770.0,84.71,0.01,2,0.66,13.58
255,564.0,92.85,0.85,1,0.28,4.37
256,666.0,76.06,0.96,0,0.89,12.21
257,687.0,60.56,0.11,2,0.41,14.13
258,578.0,91.57,0.23,2,0.45,3.86
259,678.0,58.11,0.04,1,0.49,12.16
260,675.0,61.11,0.67,3,0.97,13.07
261,704.0,54.12,0.15,5,0.31,14.92
262,551.0,53.28,0.35,1,0.57,16.31
263,510.0,75.62,0.24,1,0.89,7.01
264,495.0,72.87,0.15,2,0.62,18.9
265,469.0,95.39,0.71,2,0.22,12.85
266,639.0,74.0,0.4,4,0.71,12.65
267,584.0,67.68,0.32,2,0.81,9.24
268,530.0,78.82,0.96,2,0.06,8.38
269,471.0,93.17,0.15,2,0.26,17.43
270,613.0,88.56,0.77,2,0.32,17.95
271,702.0,81.55,0.79,5,0.22,17.6
272,638.0,77.27,0.22,3,0.51,8.77
273,740.0,82.15,0.02,2,0.48,3.58
274,615.0,81.74,0.87,1,0.99,12.62
275,541.0,74.23,0.01,1,0.98,8.75
276,709.0,71.82,0.66,2,0.98,0.53
277,638.0,87.93,0.86,2,0.72,1.64
278,712.0,65.12,0.34,0,0.47,19.59
279,589.0,52.73,0.98,3,0.14,1.99
280,625.0,99.51,0.61,3,0.37,3.62
281,634.0,63.86,0.71,1,0.69,19.71
282,546.0,50.39,0.37,2,0.17,12.61
283,650.0,64.97,0.23,2,0.44,16.07
284,488.0,69.75,0.87,1,0.11,4.56
285,695.0,77.52,0.31,3,0.95,12.42
286,563.0,69.74,0.67,2,0.13,6.83
287,554.0,60.17,0.87,4,0.6,13.86
288,563.0,71.78,0.9,3,0.38,7.15
289,699.0,58.7,0.39,5,0.0,0.79
290,525.0,96.98,0.31,3,0.99,18.09
291,513.0,52.45,0.39,1,0.83,9.76
292,597.0,56.07,0.87,2,0.52,12.96
293,774.0,62.73,0.93,3,0.27,12.16
294,850.0,60.14,0.56,2,0.76,11.78
295,557.0,56.76,0.56,2,0.51,5.72
296,623.0,52.2,0.85,1,0.12,9.52
297,799.0,81.89,0.77,5,0.8,19.63
298,677.0,89.03,0.36,0,0.76,15.43
299,457.0,78.99,0.05,1,0.33,11.13
300,658.0,73.87,0.55,0,0.17,2.14
301,611.0,94.18,1.0,5,0.46,17.88
302,590.0,63.94,0.87,2,0.33,14.51
303,739.0,55.73,0.54,1,0.82,12.98
304,595.0,77.65,0.9,4,0.12,8.63
305,630.0,56.97,0.04,3,0.43,12.01
306,579.0,81.85,0.01,3,0.71,17.68
307,850.0,75.35,0.48,3,0.04,11.0
308,455.0,82.84,0.51,1,0.57,11.28
309,764.0,65.76,0.49,2,0.38,14.3
310,726.0,91.79,0.66,1,0.47,1.64
311,588.0,83.57,0.78,5,0.49,15.64
312,610.0,55.52,0.43,1,0.65,19.51
313,607.0,89.04,0.48,2,0.81,11.69
314,444.0,94.7,0.51,3,0.37,8.24
315,545.0,94.94,0.02,2,0.06,17.36
316,648.0,88.28,0.16,2,0.96,2.37
317,465.0,74.98,0.65,4,0.38,15.81
318,725.0,61.81,0.99,1,0.36,8.47
319,531.0,64.6,0.79,1,0.01,17.05
320,573.0,88.24,0.33,2,0.62,16.95
321,751.0,76.93,0.54,5,0.43,0.81
322,681.0,83.26,0.24,6,0.21,19.75
323,542.0,67.0,0.92,1,0.53,10.03
324,508.0,74.03,0.36,2,0.43,2.86
325,599.0,67.32,0.09,1,0.13,6.77
326,535.0,57.86,0.48,4,0.93,6.47
327,850.0,66.04,0.55,3,0.38,7.63
328,563.0,82.22,0.14,1,0.16,8.75
329,488.0,97.41,0.84,1,0.11,12.55
330,569.0,55.53,0.13,1,0.62,17.94
331,438.0,99.35,0.14,3,0.09,17.78
332,438.0,57.4,0.25,0,0.2,4.6
333,733.0,67.92,0.21,2,0.6,3.18
334,660.0,82.32,0.36,3,0.38,9.66
335,412.0,83.62,0.97,2,0.74,3.07
336,716.0,92.82,0.97,0,0.6,6.36
337,540.0,77.4,0.83,2,0.5,8.42
338,415.0,98.11,0.48,1,0.72,15.49
339,553.0,69.46,0.9,1,0.52,16.79
340,672.0,92.98,0.67,1,0.34,19.23
341,539.0,65.0,0.17,0,0.73,11.68
342,690.0,69.51,0.36,0,0.79,2.55
343,560.0,60.95,0.08,2,0.1,7.87
344,517.0,86.0,0.51,2,0.18,8.05
345,536.0,92.95,0.86,2,0.55,16.4
346,693.0,54.8,0.14,2,0.96,1.01
347,472.0,87.09,0.71,7,0.88,0.61
348,530.0,89.33,0.06,3,0.44,13.92
349,650.0,53.86,0.9,0,0.52,8.61
350,352.0,79.49,0.5,1,0.47,3.61
351,699.0,67.73,0.79,1,0.07,1.09
352,774.0,55.77,0.29,1,0.83,11.87
353,612.0,50.78,0.57,2,0.76,13.37
354,433.0,59.74,0.37,3,0.32,2.2
355,591.0,54.12,0.37,2,0.97,18.93
356,537.0,92.03,0.41,2,0.23,9.34
357,574.0,86.57,0.66,0,0.92,15.15
358,574.0,83.74,0.34,0,0.79,18.15
359,636.0,55.95,0.08,0,0.07,18.93
360,658.0,79.2,0.53,3,0.27,10.69
361,515.0,83.46,0.08,2,0.29,3.94
362,751.0,51.38,0.56,3,0.79,19.33
363,616.0,76.88,0.18,3,0.85,15.86
364,604.0,51.23,0.22,1,0.29,10.91
365,626.0,66.33,0.56,3,0.56,8.96
366,609.0,60.29,0.01,8,0.09,9.65
367,679.0,81.78,0.13,3,0.95,12.69
368,524.0,86.23,0.79,5,0.55,19.19
369,741.0,96.05,0.44,2,0.0,5.93
370,619.0,56.29,0.24,4,0.26,18.31
371,523.0,71.83,0.01,0,0.88,12.03
372,574.0,84.57,0.72,4,0.89,18.7
373,777.0,73.2,0.37,0,0.58,10.95
374,673.0,56.34,0.97,2,0.62,18.29
375,468.0,73.47,0.48,3,0.21,15.44
376,503.0,76.48,0.17,1,0.91,4.97
377,606.0,84.67,0.94,3,0.51,12.68
378,502.0,82.9,0.83,2,0.21,13.78
379,631.0,67.13,0.57,3,0.88,18.13
380,473.0,89.65,0.47,2,0.83,18.28
381,741.0,78.39,0.68,2,0.44,15.71
382,693.0,52.74,0.49,1,0.21,15.36
383,620.0,87.66,0.64,5,0.72,16.81
384,758.0,69.05,0.95,5,0.23,11.93
385,618.0,71.95,0.83,3,0.47,13.29
386,779.0,87.2,0.73,0,0.34,11.75
387,493.0,53.72,0.62,5,0.01,18.07
388,722.0,87.03,0.71,4,0.19,3.26
389,649.0,93.32,0.58,3,0.3,5.61
390,662.0,71.42,0.57,0,0.14,16.79
391,647.0,74.86,0.37,2,0.58,7.58
392,595.0,82.13,0.14,1,0.97,15.64
393,684.0,95.84,0.23,0,0.44,11.5
394,624.0,80.79,0.58,1,0.52,2.35
395,513.0,97.1,0.09,1,0.49,2.79
396,641.0,60.48,0.07,1,0.21,12.43
397,546.0,57.93,0.98,4,0.03,14.27
398,603.0,73.64,0.28,1,0.34,16.8
399,626.0,74.81,0.01,3,0.14,5.48
400,667.0,77.11,0.17,4,0.42,9.82
401,695.0,79.32,0.84,1,0.5,17.26
402,559.0,69.73,0.31,3,0.25,18.03
403,504.0,61.07,0.05,1,0.79,18.23
404,722.0,97.92,0.55,3,0.89,17.44
405,705.0,65.93,0.16,3,0.65,11.03
406,586.0,84.97,0.42,2,0.01,14.29
407,518.0,78.22,0.85,2,1.0,15.25
408,576.0,97.53,0.79,2,0.94,15.25
409,575.0,52.99,0.13,3,0.17,11.82
410,679.0,73.46,0.98,3,0.52,13.82
411,850.0,70.92,0.51,2,0.66,11.0
412,615.0,79.78,0.52,3,0.79,18.39
413,693.0,81.21,0.71,2,0.96,5.88
414,721.0,81.4,0.95,0,0.19,17.47
415,567.0,93.24,0.24,1,0.18,7.61
416,538.0,73.47,0.85,2,0.27,4.59
417,469.0,63.06,0.58,0,0.86,10.42
418,588.0,55.36,0.36,4,0.31,15.94
419,648.0,87.26,0.67,5,0.7,18.06
420,738.0,65.46,0.63,0,0.9,19.84
421,456.0,91.71,0.85,1,0.61,5.5
422,700.0,84.96,0.69,1,0.53,0.87
423,696.0,67.36,0.66,0,0.26,2.5
424,566.0,80.52,0.95,1,0.28,6.63
425,714.0,82.93,0.34,2,0.89,18.14
426,499.0,67.23,0.63,0,0.14,18.59
427,630.0,79.88,0.38,1,0.47,18.65
428,605.0,68.89,0.59,1,0.83,2.35
429,561.0,87.97,0.28,3,0.36,4.25
430,547.0,66.02,0.72,3,0.95,6.36
431,465.0,77.6,0.25,3,0.91,8.92
432,613.0,63.2,0.63,5,0.87,11.31
433,645.0,81.02,0.27,3,0.13,13.9
434,592.0,79.17,0.06,2,0.42,12.08
435,585.0,98.57,0.26,1,0.11,0.72
436,589.0,84.51,0.12,8,0.78,4.29
437,620.0,80.85,0.01,2,0.93,12.28
438,653.0,95.21,0.53,1,0.25,12.77
439,569.0,91.38,0.64,0,0.55,13.47
440,726.0,79.65,0.66,3,0.21,8.94
441,614.0,75.41,0.54,1,0.47,5.93
442,554.0,92.66,0.84,1,0.0,3.47
443,538.0,99.97,0.61,2,0.29,19.39
444,620.0,78.72,0.11,0,0.46,4.81
445,495.0,82.15,0.77,1,0.87,10.6
446,489.0,67.91,0.94,2,0.86,13.08
447,646.0,66.03,0.26,2,0.04,7.66
448,729.0,81.9,0.71,1,0.93,10.45
449,568.0,75.76,0.44,2,0.61,10.13
450,367.0,72.11,0.66,4,0.03,14.85
451,547.0,76.56,0.67,7,0.48,8.38
452,633.0,87.88,0.54,3,0.89,18.87
453,662.0,74.66,0.67,1,0.84,4.09
454,542.0,69.95,0.62,2,0.34,4.4
455,522.0,86.05,0.13,1,0.79,11.38
456,683.0,99.22,0.09,1,0.31,12.28
457,633.0,87.6,0.22,1,0.66,15.54
458,600.0,79.69,0.47,0,0.17,4.96
459,647.0,95.06,0.73,2,0.79,11.21
460,501.0,73.74,0.44,2,0.59,8.94
461,749.0,94.25,0.09,1,0.98,13.24
462,509.0,90.18,0.85,3,0.56,2.49
463,511.0,57.94,0.67,2,0.77,0.57
464,647.0,54.92,0.34,4,0.71,2.83
465,778.0,64.43,0.99,6,0.16,16.05
466,572.0,57.05,0.78,1,0.74,9.87
467,556.0,80.34,0.5,7,0.79,17.32
468,626.0,60.71,0.29,2,0.22,6.89
469,617.0,93.56,0.98,2,0.35,7.28
470,495.0,74.12,0.67,1,0.2,3.73
471,735.0,91.5,0.36,4,0.19,10.96
472,592.0,76.79,0.35,2,0.33,9.46
473,671.0,76.03,0.65,1,0.58,5.83
474,752.0,83.18,0.97,1,0.33,15.49
475,667.0,96.29,0.49,2,0.28,18.1
476,591.0,60.83,0.59,2,0.17,10.6
477,641.0,89.02,0.23,1,0.59,18.38
478,610.0,58.69,0.35,3,0.3,18.25
479,606.0,69.72,0.61,4,0.79,14.79
480,623.0,96.41,0.16,3,0.17,8.3
481,501.0,57.83,0.09,2,0.4,10.79
482,515.0,56.03,0.02,3,0.39,19.4
483,529.0,94.75,0.06,0,0.6,11.19
484,612.0,54.63,0.52,2,0.38,19.71
485,599.0,68.8,0.05,1,0.29,7.55
486,453.0,90.1,0.86,2,0.75,12.58
487,571.0,64.39,0.65,2,0.12,1.79
488,700.0,86.05,0.42,0,0.67,13.41
489,673.0,87.39,0.72,2,0.37,13.7
490,646.0,95.5,0.47,3,0.05,12.87
491,610.0,93.7,0.03,3,0.49,15.87
492,707.0,71.4,0.76,4,0.91,16.44
493,691.0,83.79,0.22,0,0.19,1.27
494,483.0,72.99,0.99,2,0.18,19.36
495,485.0,96.26,0.84,4,0.72,7.81
496,614.0,88.65,0.68,2,0.74,1.67
497,628.0,55.63,0.56,4,0.23,4.49
498,643.0,71.35,0.58,2,0.16,0.92
499,627.0,68.84,0.36,0,0.05,4.52
500,486.0,90.5,0.42,1,0.72,3.29
501,572.0,51.5,0.6,3,0.84,9.98
502,633.0,92.97,0.71,1,0.39,2.32
503,544.0,67.19,0.09,3,0.91,12.79
504,850.0,57.61,0.44,2,0.58,6.17
505,610.0,66.48,0.24,1,0.09,12.66
506,694.0,89.41,0.31,7,0.45,15.56
507,480.0,85.32,0.87,2,0.98,7.25
508,628.0,90.33,0.35,1,0.27,9.56
509,597.0,51.75,0.55,3,0.99,12.3
510,444.0,83.6,0.65,3,0.53,6.33
511,647.0,56.76,0.61,4,0.39,2.31
512,499.0,98.57,0.19,4,0.36,16.73
513,555.0,66.57,0.18,1,0.3,16.58
514,711.0,51.08,0.29,3,0.4,4.7
515,590.0,91.37,0.13,0,0.64,19.84
516,753.0,56.47,0.67,2,0.81,6.61
517,563.0,64.23,0.35,2,0.63,11.79
518,693.0,80.22,0.33,2,0.55,1.59
519,548.0,75.56,0.07,3,0.14,10.45
520,614.0,87.21,0.68,1,0.99,2.75
521,524.0,91.22,0.42,1,0.79,10.64
522,529.0,63.87,0.42,1,0.53,8.37
523,528.0,71.56,0.84,2,0.64,4.32
524,502.0,80.57,0.93,3,0.26,4.71
525,706.0,76.76,0.72,2,0.89,16.36
526,630.0,84.76,0.58,3,0.9,4.18
527,762.0,51.02,0.18,1,0.98,14.63
528,329.0,96.04,0.68,3,0.33,3.24
529,611.0,57.55,0.73,2,0.01,14.5
530,668.0,58.2,0.67,2,0.36,1.13
531,626.0,61.97,0.3,1,0.08,17.96
532,717.0,86.19,0.18,3,0.11,1.07
533,718.0,87.36,0.89,1,0.94,18.31
534,630.0,50.12,0.92,2,0.31,14.24
535,647.0,61.35,0.05,0,0.48,6.78
536,707.0,98.41,0.1,1,0.19,18.81
537,468.0,72.61,0.71,2,0.16,7.13
538,543.0,52.61,0.93,4,0.1,3.34
539,681.0,97.49,0.89,3,0.04,15.68
540,517.0,56.13,0.06,2,0.63,13.3
541,592.0,55.59,0.35,3,0.38,19.17
542,595.0,75.98,0.4,1,0.11,15.88
543,621.0,67.53,0.71,1,0.95,16.47
544,480.0,73.85,0.3,0,0.12,15.8
545,619.0,78.41,0.05,1,0.71,4.91
546,597.0,63.58,0.01,3,0.67,19.63
547,539.0,84.29,0.16,1,0.26,16.23
548,625.0,51.22,0.37,1,0.02,8.6
549,533.0,72.5,0.28,1,0.99,16.46
550,667.0,72.65,0.58,1,0.97,11.6
551,657.0,64.4,0.1,5,0.05,1.14
552,582.0,71.49,0.94,0,0.07,9.97
553,549.0,64.72,0.85,4,0.73,16.73
554,565.0,74.35,0.83,3,0.89,14.18
555,437.0,67.3,0.2,2,0.14,6.33
556,590.0,96.79,0.4,3,0.36,19.14
557,554.0,55.46,0.05,3,0.08,1.79
558,507.0,77.42,0.08,1,0.17,3.57
559,578.0,79.1,0.26,2,0.4,8.37
560,600.0,57.65,0.4,3,0.29,5.42
561,607.0,93.63,0.01,3,0.21,5.08
562,769.0,89.49,0.69,1,0.18,12.17
563,537.0,83.36,0.66,0,0.86,18.05
564,422.0,77.42,0.82,0,0.74,2.39
565,758.0,89.23,0.72,2,0.4,8.23
566,648.0,83.56,0.88,5,0.89,2.79
567,607.0,64.27,0.89,4,0.68,17.81
568,585.0,86.73,0.17,1,0.46,11.34
569,584.0,51.4,0.04,2,0.63,18.06
570,553.0,69.09,0.23,2,0.45,18.6
571,487.0,81.42,0.27,2,0.5,12.89
572,706.0,96.37,0.14,1,0.54,17.73
573,674.0,71.48,0.05,3,0.23,4.11
574,679.0,51.1,0.62,3,0.29,1.65
575,504.0,73.41,0.23,2,0.72,15.34
576,659.0,72.5,0.89,1,0.64,4.81
577,763.0,85.67,0.19,2,0.88,3.58
578,512.0,68.62,0.78,2,0.08,1.7
579,613.0,83.37,0.18,4,0.4,17.55
